name,stars,review,type,lng,lat
Limoni,0,0,"$, European, Asian, Georgian",41.690220,44.813503
Shandiz Restaurant,0,0,"$, Middle Eastern, Persian, Arabic",41.712429,44.795414
Pal's Cafe,0,0,"$, Bar, Cafe, Barbecue",41.720757,44.777397
New Taste,0,0,"$, Georgian",41.692417,44.799931
Sushi Hut,0,0,Sushi,41.694576,44.800259
Keria Rustaveli,0,0,"$, Georgian",41.702789,44.791878
Kebab House,0,0,"$$ - $$$, Indian, Cafe, Russian",41.793423,44.816044
Meisterbrau,0,0,"$$ - $$$, Wine Bar, Georgian",41.812214,44.780754
Le-Felle,0,0,"$, Lebanese, Fast Food, Mediterranean",41.709667,44.769482
Uzbechka,0,0,"$$ - $$$, Asian, Uzbek, Caucasian",41.755009,44.777870
Rio,0,0,"$, Italian, American, Bar",41.705410,44.800617
Doors,0,0,"$$ - $$$, European, Georgian",41.721432,44.765427
Zero Effect,0,0,"$, International, Healthy, Georgian",41.705730,44.781422
Espresso Cafe & Shop,0,0,"$, Italian, Pizza, Cafe",41.792538,44.813232
Keria Chavchavadze,0,0,"$, Georgian",41.709476,44.767258
pizzaspectra,0,0,"$, Pizza, Mediterranean, European",41.727280,44.759254
Pad  Thai Restaurant Tbilisi,0,0,"$, Asian, Thai",41.692226,44.799686
HOOKAH Baza,0,0,null,41.689220,44.807304
Pota Pota,0,0,"$, Turkish, Georgian",41.727264,44.758972
Fire BBQ,0,0,"$$ - $$$, American, European, British",41.707115,44.772572
Old Town,0,0,$$ - $$$,41.754044,44.778038
India Gate,0,0,"$, Indian",41.726040,44.761620
Castro's Gastro,0,0,"$, Mexican, Caribbean, Fusion",41.716877,44.791416
Stockholm,0,0,"$, European, Georgian",41.725693,44.761379
Wine Cellar Old Piano,0,0,"$$ - $$$, Georgian",41.703583,44.802937
Aq Zis Tfilisi,0,0,"$, Italian, European, Russian",41.695992,44.802380
Food Point,0,0,"$, Italian, European, Asian",41.707333,44.773312
Angora,0,0,"$, European, Georgian",41.706657,44.785652
Keria Tamarashvili,0,0,"$, Georgian",41.722950,44.745239
Greek Point,0,0,"$, Greek, Fast Food, Grill",41.707214,44.792225
