name,stars,review,type,lng,lat
Monkey Yummy,5.0,3,"$, European",41.708809,44.761402
BC Bakery,5.0,3,"$, Italian, French, European",41.708206,44.775585
Aq Shaurma,5.0,3,"$, Lebanese, Mediterranean, Turkish",41.688354,44.870342
Cafe R.T.,5.0,3,"Italian, Pizza, European",41.707249,44.769436
Ke-Gusto,5.0,3,"$, Italian",41.708805,44.766678
Pipinia,5.0,3,"$, European, Georgian",41.689159,44.796364
Cafe Valentina,5.0,2,"$, European, Georgian",41.706844,44.803524
Brasserie Bloom,5.0,2,"$$ - $$$, Georgian",41.697342,44.810738
Saelcho Bar,5.0,2,"$, European, Georgian",41.695656,44.792110
Muhudo,5.0,2,"$, Fast Food",41.703632,44.789646
By Fish Sea Food Restaurant,5.0,2,"$, Seafood, Turkish, Middle Eastern",41.714188,44.793453
HideOut Cafe,5.0,2,"$$ - $$$, European, Georgian",41.694557,44.794090
Billy Burke's Irish Pub,5.0,2,"$, Irish, Pub, Gastropub",41.722481,44.777672
break time,5.0,2,"$$ - $$$, Steakhouse, Soups",41.725552,44.757557
Krab's Burger,5.0,2,"$, Italian, American, Fast Food",41.707150,44.774113
Dose,5.0,2,"$, European",41.691936,44.799953
Cup & Cake,5.0,2,"$, American",41.707329,44.768795
Tiflis Bazar,5.0,1,"$$ - $$$, Georgian, Cafe, Healthy",41.688511,44.810474
Tbilisi Hills Restaurant,5.0,1,"$, European",41.643158,44.863850
Taj Mahal Grand,5.0,1,$,41.708839,44.797733
Art Tea Room,5.0,1,"$$ - $$$, European, Fusion",41.699604,44.795544
Staromestska,5.0,1,"$$ - $$$, European, Czech",41.730900,44.763878
Restaurant Residence,5.0,1,"$$ - $$$, Wine Bar, Georgian",41.672337,44.812717
Viceversa Coffee Academy,5.0,1,"$, Italian",41.720848,44.769356
Irmale's Cafe,5.0,1,"$, European, Georgian",41.707050,44.783459
Restaurant Diara,5.0,1,"$, Italian, American, Caucasian",41.759064,44.768738
Molecule,5.0,1,"$, European, Asian, Georgian",41.700760,44.756817
Agaraki,5.0,1,"$$ - $$$, European, Georgian",41.670742,44.649242
Zaaki Restaurant,5.0,1,Indian,41.718437,44.780659
Cafe Pantagruel,5.0,1,$,41.689777,44.800495
ChiChico,5.0,1,"$, American, Fast Food, Street Food",41.708614,44.780247
Vilnius Bar,5.0,1,"$, Fast Food, International",41.696953,44.801796
Land of Thai,5.0,1,"$, International",41.723900,44.789749
Cafe Orangery,5.0,1,"$$$$, International, European, Georgian",41.694004,44.783031
Als Lounge Bar,5.0,1,"$$$$, Georgian",41.721912,44.765911
Barbarestan,4.5,1387,"$$$$, Wine Bar, Georgian, Vegetarian Friendly",41.715130,44.793114
Organique Josper Grill Bar,4.5,1141,"$$ - $$$, Steakhouse, Barbecue, European",41.690739,44.808075
Sakhli #11,4.5,995,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.691429,44.801125
Gabriadze Cafe,4.5,764,"$$ - $$$, Cafe, European, Eastern European",41.695667,44.806515
Old City Wall Restaurant & Wine Bar,4.5,751,"$$ - $$$, Georgian, Barbecue, Wine Bar",41.695862,44.803024
g.Vino Wine Bar,4.5,676,"$$ - $$$, Wine Bar, Gastropub, Vegetarian Friendly",41.692760,44.806862
Cafe Palermo,4.5,604,"$, Georgian, Vegetarian Friendly",41.691380,44.816154
Schuchmann Wine Bar & Restaurant,4.5,604,"$$ - $$$, Contemporary, Fusion, Central European",41.690941,44.807678
Umami Asian Fusion Restaurant,4.5,589,"$$ - $$$, Sushi, Asian, Vegetarian Friendly",41.703846,44.793415
Pavilion : cafe & restaurant,4.5,586,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.695053,44.806610
Sormoni Meidan,4.5,516,"$$ - $$$, Wine Bar, Georgian, Barbecue",41.689190,44.809959
Salobie Bia,4.5,489,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.690605,44.799992
Filini,4.5,457,"$$ - $$$, Steakhouse, Pizza, Italian",41.703629,44.793839
Restaurant Meama,4.5,438,"$$$$, Georgian, Vegetarian Friendly, Vegan Options",41.689178,44.808479
Duqani,4.5,409,"$$ - $$$, Caucasian, Vegetarian Friendly, Vegan Options",41.701855,44.796032
Georgian House,4.5,408,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.720505,44.785885
Kafe Leila,4.5,383,"$$ - $$$, European, Cafe, Vegetarian Friendly",41.695587,44.806541
Respublika Grill Bar,4.5,374,"$$ - $$$, Bar, Steakhouse, Grill",41.695927,44.796066
Shavi Lomi,4.5,371,"$$ - $$$, Contemporary, Vegetarian Friendly, Vegan Options",41.708607,44.806126
Kakhelebi,4.5,355,"$$ - $$$, Barbecue, Soups, Grill",41.691963,44.980602
MacLaren's Irish Pub,4.5,344,"$$ - $$$, American, Irish, European",41.690540,44.808689
Burger House,4.5,317,"$$ - $$$, American, Bar, European",41.695683,44.802757
Tavern Sabatono,4.5,311,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.702320,44.791981
Orshimo,4.5,307,"$$ - $$$, Wine Bar, Georgian, Vegetarian Friendly",41.692772,44.806717
Iveria Cafe,4.5,306,"$$ - $$$, Cafe, International, European",41.704159,44.791943
Huggo Bar,4.5,280,"$$ - $$$, European, Ukrainian, Georgian",41.692188,44.801094
